Iteration 	 Mean deviation (m) 	 Maximum deviation (m) 	 Mean deviation (%) 	 Maximum deviation (%)
1 	 0.064431 	 0.072848 	 146.435363 	 165.563468
2 	 0.064150 	 0.077160 	 145.794656 	 175.364255
3 	 0.023494 	 0.047266 	 53.394765 	 107.423554
4 	 0.031887 	 0.038820 	 72.471242 	 88.227840
5 	 0.003323 	 0.006908 	 7.551328 	 15.699587
6 	 0.001736 	 0.006230 	 3.944615 	 14.158148
7 	 0.001553 	 0.006663 	 3.530679 	 15.144224
8 	 0.001443 	 0.006621 	 3.279882 	 15.047650
9 	 0.001401 	 0.006929 	 3.183745 	 15.748226
10 	 0.001377 	 0.006795 	 3.128869 	 15.442768
11 	 0.002514 	 0.004675 	 5.713231 	 10.625989
12 	 0.003729 	 0.006655 	 8.474392 	 15.125449
13 	 0.001141 	 0.005556 	 2.593385 	 12.627694
14 	 0.000973 	 0.004875 	 2.211458 	 11.078613
15 	 0.001335 	 0.004570 	 3.034710 	 10.385647
16 	 0.000964 	 0.004454 	 2.191298 	 10.122628
17 	 0.000956 	 0.004479 	 2.172117 	 10.178816
18 	 0.000937 	 0.004526 	 2.129954 	 10.287460
19 	 0.000931 	 0.004585 	 2.115070 	 10.419863
20 	 0.000928 	 0.004609 	 2.109266 	 10.475488
21 	 0.001039 	 0.002957 	 2.360473 	 6.719690
22 	 0.000835 	 0.002640 	 1.898483 	 6.000363
23 	 0.001378 	 0.005694 	 3.130863 	 12.941444
24 	 0.000817 	 0.003701 	 1.856761 	 8.410920
25 	 0.000785 	 0.003286 	 1.783649 	 7.468177
26 	 0.001250 	 0.004537 	 2.839804 	 10.311360
27 	 0.000740 	 0.003341 	 1.681259 	 7.592976
28 	 0.000748 	 0.003360 	 1.700471 	 7.636703
29 	 0.000743 	 0.003340 	 1.687913 	 7.591219
30 	 0.000737 	 0.003361 	 1.675812 	 7.638303
31 	 0.001216 	 0.003577 	 2.763045 	 8.129401
32 	 0.000812 	 0.003264 	 1.845491 	 7.418786
33 	 0.000660 	 0.002652 	 1.499430 	 6.026578
34 	 0.000632 	 0.002954 	 1.435593 	 6.713180
35 	 0.000626 	 0.002979 	 1.422630 	 6.769840
36 	 0.000691 	 0.002883 	 1.570801 	 6.551795
37 	 0.000637 	 0.002980 	 1.446818 	 6.773856
38 	 0.000621 	 0.003044 	 1.411005 	 6.918342
39 	 0.000623 	 0.003033 	 1.414891 	 6.892965
40 	 0.000635 	 0.002960 	 1.442881 	 6.727320
41 	 0.012746 	 0.031725 	 28.967787 	 72.101556
42 	 0.014612 	 0.036378 	 33.208173 	 82.676861
43 	 0.015213 	 0.037881 	 34.575622 	 86.093301
44 	 0.014801 	 0.036593 	 33.639685 	 83.165315
45 	 0.000683 	 0.002118 	 1.552748 	 4.813048
46 	 0.000580 	 0.002309 	 1.319138 	 5.248701
47 	 0.000580 	 0.002297 	 1.317367 	 5.220537
48 	 0.000577 	 0.002307 	 1.311049 	 5.243535
49 	 0.000572 	 0.002345 	 1.300248 	 5.330471
50 	 0.000572 	 0.002356 	 1.300375 	 5.353844
51 	 0.001077 	 0.004353 	 2.448595 	 9.892837
52 	 0.000564 	 0.002357 	 1.282047 	 5.357353
53 	 0.000559 	 0.002395 	 1.269574 	 5.444243
54 	 0.000561 	 0.002417 	 1.274186 	 5.492579
55 	 0.000562 	 0.002388 	 1.277705 	 5.427063
56 	 0.000555 	 0.002390 	 1.261759 	 5.431027
57 	 0.000573 	 0.002293 	 1.301271 	 5.211518
58 	 0.000563 	 0.002392 	 1.279204 	 5.436518
59 	 0.000541 	 0.002385 	 1.229541 	 5.420123
60 	 0.000539 	 0.002403 	 1.225732 	 5.461569
61 	 0.000502 	 0.002125 	 1.141438 	 4.828898
62 	 0.000463 	 0.002158 	 1.052448 	 4.903680
63 	 0.000454 	 0.002158 	 1.031561 	 4.904067
64 	 0.000456 	 0.002165 	 1.037111 	 4.920624
65 	 0.000455 	 0.002185 	 1.033107 	 4.966139
66 	 0.000458 	 0.002192 	 1.040200 	 4.980809
67 	 0.000458 	 0.002214 	 1.040160 	 5.032143
68 	 0.000461 	 0.002202 	 1.047537 	 5.004046
69 	 0.000460 	 0.002190 	 1.045889 	 4.976926
70 	 0.000461 	 0.002172 	 1.047380 	 4.937234
71 	 0.002349 	 0.005119 	 5.338988 	 11.634976
72 	 0.000377 	 0.001706 	 0.856211 	 3.877548
73 	 0.000376 	 0.001675 	 0.854026 	 3.805903
74 	 0.000382 	 0.001738 	 0.868329 	 3.949437
75 	 0.000384 	 0.001785 	 0.872978 	 4.056816
76 	 0.000390 	 0.001788 	 0.885831 	 4.064703
77 	 0.000384 	 0.001789 	 0.873698 	 4.066346
78 	 0.000386 	 0.001787 	 0.876335 	 4.061496
79 	 0.000384 	 0.001829 	 0.873069 	 4.156904
80 	 0.000386 	 0.001825 	 0.878126 	 4.148129
81 	 0.000527 	 0.001918 	 1.197683 	 4.359125
82 	 0.000324 	 0.001482 	 0.737080 	 3.367832
83 	 0.000314 	 0.001553 	 0.714751 	 3.530643
84 	 0.000300 	 0.001510 	 0.680797 	 3.432388
85 	 0.000293 	 0.001428 	 0.666277 	 3.245581
86 	 0.000303 	 0.001439 	 0.689594 	 3.269565
87 	 0.000308 	 0.001488 	 0.699262 	 3.381132
88 	 0.000307 	 0.001493 	 0.698437 	 3.393665
89 	 0.000308 	 0.001486 	 0.699830 	 3.376313
90 	 0.000306 	 0.001478 	 0.695991 	 3.358600
91 	 0.000757 	 0.001727 	 1.719436 	 3.924084
92 	 0.000226 	 0.000998 	 0.513240 	 2.268332
93 	 0.000218 	 0.001104 	 0.494759 	 2.509814
94 	 0.000203 	 0.001126 	 0.462412 	 2.559442
95 	 0.000206 	 0.001134 	 0.467690 	 2.577016
96 	 0.000205 	 0.001204 	 0.466341 	 2.736699
97 	 0.000199 	 0.001235 	 0.451802 	 2.807851
98 	 0.000182 	 0.001224 	 0.413167 	 2.780994
99 	 0.000179 	 0.001201 	 0.406874 	 2.729674
100 	 0.000190 	 0.001286 	 0.432045 	 2.922099
101 	 0.000254 	 0.000985 	 0.577650 	 2.238908
102 	 0.000176 	 0.000796 	 0.400236 	 1.809184
103 	 0.000136 	 0.000850 	 0.309068 	 1.931962
104 	 0.000129 	 0.000739 	 0.293963 	 1.678692
105 	 0.000125 	 0.000771 	 0.284142 	 1.752696
106 	 0.000131 	 0.000801 	 0.297449 	 1.820241
107 	 0.000125 	 0.000776 	 0.284379 	 1.763358
108 	 0.000126 	 0.000770 	 0.286522 	 1.748952
109 	 0.000126 	 0.000763 	 0.286034 	 1.733821
110 	 0.000126 	 0.000757 	 0.287352 	 1.719937
111 	 0.000577 	 0.001439 	 1.310844 	 3.271531
112 	 0.000089 	 0.000471 	 0.202265 	 1.071288
113 	 0.000140 	 0.000631 	 0.318178 	 1.433814
114 	 0.000112 	 0.000428 	 0.255483 	 0.972402
115 	 0.000098 	 0.000385 	 0.222670 	 0.875249
116 	 0.000079 	 0.000437 	 0.179788 	 0.993840
117 	 0.000074 	 0.000407 	 0.167479 	 0.923934
118 	 0.000072 	 0.000461 	 0.162787 	 1.048261
119 	 0.000066 	 0.000454 	 0.150640 	 1.031517
120 	 0.000062 	 0.000441 	 0.140457 	 1.002670
121 	 0.000111 	 0.000338 	 0.252055 	 0.768661
122 	 0.000048 	 0.000345 	 0.109746 	 0.784610
123 	 0.000042 	 0.000344 	 0.094358 	 0.782259
124 	 0.000043 	 0.000335 	 0.097188 	 0.761220
125 	 0.000040 	 0.000349 	 0.090284 	 0.793682
126 	 0.000037 	 0.000344 	 0.085048 	 0.782900
127 	 0.000038 	 0.000341 	 0.085597 	 0.775667
128 	 0.000038 	 0.000343 	 0.085889 	 0.779597
129 	 0.000038 	 0.000344 	 0.085628 	 0.780760
